,Lithium,Cobalt,Nickel,Graphite,Manganese
2022-01-31 15:55:58.925593,43.244674797488656,78.87268809963994,61.273963272208796,60.904253149458576,82.87310775840034
2022-02-28 15:55:58.925593,46.91751564734767,81.89700711427174,71.78151598838237,73.98265667070858,106.22562083574066
2022-03-31 15:55:58.925593,72.46032433917493,97.34796223343743,89.50276944200543,92.0897355666056,120.76059617263249
2022-04-30 15:55:58.925593,84.99572395968559,117.39925006117863,114.10428905284124,111.27882529051658,139.6897722244403
2022-05-31 15:55:58.925593,100.07065756054439,148.44991766586358,120.07039255220064,133.24292082769884,137.9195185353178
2022-06-30 15:55:58.925593,-25.91282789433328,-2.879019956727369,-11.57228178743306,-4.783145304359248,-7.345544976002039
2022-07-31 15:55:58.925593,-28.15167824081273,-6.214129559682036,-10.971284230702782,-7.454300612255194,-8.004707650615028
2022-08-31 15:55:58.925593,-27.968743110298444,-8.28401014384812,-8.972172359470154,-9.236406946394748,-10.94805834983209
2022-09-30 15:55:58.925593,-32.330212583652674,-5.109161669901885,-12.441108270399926,-8.346859714897937,-7.38506499848236
2022-10-31 15:55:58.925593,-31.26205169419198,-4.051124610659773,-15.99719869068993,-7.450884368331057,-10.770468215553686
2022-11-30 15:55:58.925593,-33.53259910001477,-6.276218192537442,-14.76586488305166,-6.5438147686316395,-11.82347592878873
2022-12-31 15:55:58.925593,-34.7014075730912,-4.539451159752672,-14.091702065188006,0.6106888954997558,-11.605810906541903
2023-01-31 15:55:58.925593,-36.861833091999095,-4.359689211799966,-13.532027930581226,1.7091373023468748,-8.491521666590153
2023-02-28 15:55:58.925593,-33.955624128682615,-4.811497135222154,-16.211003852398818,-0.19049846468340847,-15.37558476450982
2023-03-31 15:55:58.925593,-36.940064376925186,-11.521845731026591,-21.420644240517962,-2.5720329723109225,-16.60821286346875
2023-04-30 15:55:58.925593,-43.052716236523345,-16.647203208288108,-24.388595253346168,-5.640538864010103,-20.27734931149784
2023-05-31 15:55:58.925593,-43.568678927293526,-21.843003011561656,-27.263080833580688,-10.542568982803902,-25.829278342000993
2023-06-30 15:55:58.925593,-49.697775133396306,-30.071118420272757,-32.280580374503934,-13.551799013889031,-28.601667823959996
2023-07-31 15:55:58.925593,-51.857198300283436,-32.91354770230882,-32.12993354359012,-19.184649598659075,-31.888299571364655
2023-08-31 15:55:58.925593,-58.99678367634786,-35.90786394937279,-34.85234558904304,-23.83899575032452,-36.49300038046837
2023-09-30 15:55:58.925593,-63.962633412739066,-39.57722009783681,-40.73215587173459,-28.804369992747112,-39.96448390245577
2023-10-31 15:55:58.925593,-65.85037881064378,-43.778862989885525,-43.175574783728976,-32.91612817793177,-44.08548219436115
2023-11-30 15:55:58.925593,-66.89866560233098,-50.382114400246294,-48.33809779312218,-34.2288858830043,-47.473311360670145
2023-12-31 15:55:58.925593,-44.52390611080471,-18.860352385945845,-11.949818434194349,5.4699771976071565,-11.076407361839491
2024-01-31 15:55:58.925593,-45.01112014106701,-20.134941085302096,-8.977432082971903,6.864839141616863,-7.62168840404549
2024-02-29 15:55:58.925593,-46.003954527735814,-22.85762805802378,-11.309473012703108,3.3645542789297433,-10.554273699545469
2024-03-31 15:55:58.925593,-50.1576596953337,-23.509591296238362,-8.834893442000569,2.3372514626433194,-5.8560622951048575
2024-04-30 15:55:58.925593,-52.10112271630531,-22.42633150665193,-7.7971220328803215,4.514887058356898,-10.525808250087088
2024-05-31 15:55:58.925593,-53.348023346272136,-16.72874445094532,-5.615435532439339,4.59699399354514,-10.93690882093683
2024-06-30 15:55:58.925593,-51.02213720534824,-16.313794415422823,-0.3389807103193587,2.2901182152754496,-9.698225568796392
2024-07-31 15:55:58.925593,-50.32758632172134,-15.619030228735431,-1.1723106224816537,0.7756031365672822,-9.13611538191108
2024-08-31 15:55:58.925593,-54.855326559185905,-16.03906491099233,-3.5058384175708945,2.094952795781868,-10.623328922623475
2024-09-30 15:55:58.925593,-54.259227331221794,-22.651059799505514,-6.177321052218943,0.552570383608475,-11.159862107337027
2024-10-31 15:55:58.925593,-55.277147701593,-22.88779048657069,-8.56738892462503,0.9376034496982211,-12.325890993058719
2024-11-30 15:55:58.925593,-56.92501039034952,-22.856235522877142,-8.8703098540036,0.9791328940670363,-13.68783102889367
2024-12-31 15:55:58.925593,-55.73683786986396,-15.409572276803573,-8.02876733141752,-0.3873174342741481,-11.923605770163437
2025-01-31 15:55:58.925593,-53.58786240523781,-16.229628983773235,-7.357310747612999,3.834156664615551,-11.207950968346946
2025-02-28 15:55:58.925593,-51.565963766637715,-15.386740415955934,-5.15097901600865,5.098688527804218,-12.81710617649442
2025-03-31 15:55:58.925593,-53.7436004717097,-15.67344997435166,-5.208831535525871,0.7893425847498969,-10.92610948096484
2025-04-30 15:55:58.925593,-54.59752223011785,-19.784126554530978,-1.1701568966901443,1.1148000696115323,-10.3130594964022
2025-05-31 15:55:58.925593,-53.98172063441373,-16.277657091032648,-2.053666538947263,-0.27408545189986366,-8.562231136556619
2025-06-30 15:55:58.925593,-51.87513006282784,-13.926957968563302,5.841305015429499,1.3762454689028925,-7.196084938708158
